Rk,Tm,Season,G,W,L,W/L%,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
233,GSW,2011-12,66,23,43,.348,15915,2489,5443,.457,1965,4092,.480,524,1351,.388,951,1235,.770,6453
234,LAC,2011-12,66,40,26,.606,15965,2439,5366,.455,1925,3925,.490,514,1441,.357,1046,1538,.680,6438
235,CHI,2011-12,66,50,16,.758,15940,2467,5462,.452,2048,4345,.471,419,1117,.375,1006,1394,.722,6359
236,LAL,2011-12,66,41,25,.621,16065,2429,5319,.457,2067,4207,.491,362,1112,.326,1202,1589,.756,6422
237,BOS,2011-12,66,39,27,.591,15940,2341,5086,.460,1978,4098,.483,363,988,.367,1017,1308,.778,6062
238,NYK,2011-12,66,36,30,.545,15940,2365,5335,.443,1848,3797,.487,517,1538,.336,1211,1634,.741,6458
239,OKC,2011-12,66,47,19,.712,15990,2462,5229,.471,1990,3912,.509,472,1317,.358,1406,1744,.806,6802
240,ORL,2011-12,66,37,29,.561,15965,2275,5162,.441,1605,3377,.475,670,1785,.375,995,1508,.660,6215
241,ORL,2010-11,82,52,30,.634,19830,2956,6411,.461,2186,4308,.507,770,2103,.366,1453,2101,.692,8135
242,WAS,2010-11,82,23,59,.280,19930,3048,6888,.443,2656,5706,.465,392,1182,.332,1489,1999,.745,7977
243,CLE,2010-11,82,19,63,.232,19755,2886,6647,.434,2377,5158,.461,509,1489,.342,1546,2075,.745,7827
244,CHA,2010-11,82,34,48,.415,19805,2873,6365,.451,2480,5162,.480,393,1203,.327,1511,1999,.756,7650
245,DAL,2010-11,82,57,25,.695,19705,3069,6463,.475,2424,4695,.516,645,1768,.365,1437,1850,.777,8220
246,DEN,2010-11,82,50,32,.610,19705,3145,6613,.476,2483,4909,.506,662,1704,.388,1859,2429,.765,8811
247,UTA,2010-11,82,39,43,.476,19880,3064,6590,.465,2629,5334,.493,435,1256,.346,1590,2061,.771,8153
248,GSW,2010-11,82,36,46,.439,19830,3251,7047,.461,2566,5298,.484,685,1749,.392,1290,1695,.761,8477
249,LAC,2010-11,82,32,50,.390,19855,3015,6594,.457,2502,5075,.493,513,1519,.338,1546,2187,.707,8089
250,ATL,2010-11,82,44,38,.537,19730,2971,6429,.462,2469,5002,.494,502,1427,.352,1346,1728,.779,7790
251,MEM,2010-11,82,46,36,.561,19880,3200,6801,.471,2891,5875,.492,309,926,.334,1486,1981,.750,8195
252,MIN,2010-11,82,17,65,.207,19780,3090,7014,.441,2501,5449,.459,589,1565,.376,1519,1977,.768,8288
253,SAC,2010-11,82,24,58,.293,19855,3134,6979,.449,2706,5702,.475,428,1277,.335,1455,1981,.734,8151
254,DET,2010-11,82,30,52,.366,19880,3056,6647,.460,2584,5391,.479,472,1256,.376,1367,1854,.737,7951
255,BRK,2010-11,82,24,58,.293,20005,2918,6638,.440,2459,5301,.464,459,1337,.343,1427,1881,.759,7722
256,MIL,2010-11,82,35,47,.427,19830,2814,6544,.430,2331,5130,.454,483,1414,.342,1423,1881,.757,7534
257,NOP,2010-11,82,46,36,.561,19830,2944,6416,.459,2500,5184,.482,444,1232,.360,1452,1897,.765,7784
258,CHI,2010-11,82,62,20,.756,19830,3042,6587,.462,2531,5172,.489,511,1415,.361,1492,2008,.743,8087
259,OKC,2010-11,82,55,27,.671,20005,3066,6609,.464,2579,5206,.495,487,1403,.347,1977,2401,.823,8596
260,PHI,2010-11,82,41,41,.500,19930,3125,6776,.461,2682,5528,.485,443,1248,.355,1426,1851,.770,8119
261,IND,2010-11,82,37,45,.451,19780,3003,6787,.442,2418,5134,.471,585,1653,.354,1592,2035,.782,8183
262,SAS,2010-11,82,61,21,.744,19780,3148,6628,.475,2463,4901,.503,685,1727,.397,1521,1984,.767,8502
263,NYK,2010-11,82,42,40,.512,19780,3140,6867,.457,2375,4786,.496,765,2081,.368,1689,2087,.809,8734
264,TOR,2010-11,82,22,60,.268,19780,3144,6755,.465,2799,5664,.494,345,1091,.316,1491,1976,.755,8124
265,BOS,2010-11,82,56,26,.683,19780,3023,6219,.486,2615,5100,.513,408,1119,.365,1459,1895,.770,7913
266,MIA,2010-11,82,58,24,.707,19780,3031,6301,.481,2484,4822,.515,547,1479,.370,1760,2288,.769,8369
267,HOU,2010-11,82,43,39,.524,19880,3170,6975,.454,2493,5132,.486,677,1843,.367,1668,2083,.801,8685
268,LAL,2010-11,82,57,25,.695,19830,3128,6757,.463,2604,5270,.494,524,1487,.352,1541,1979,.779,8321
269,PHO,2010-11,82,40,42,.488,20005,3219,6844,.470,2518,4987,.505,701,1857,.377,1472,1939,.759,8611
270,POR,2010-11,82,48,34,.585,19805,2951,6599,.447,2433,5096,.477,518,1503,.345,1476,1835,.804,7896
271,MIL,2009-10,82,46,36,.561,19980,3050,6998,.436,2405,5185,.464,645,1813,.356,1264,1675,.755,8009
272,CHI,2009-10,82,41,41,.500,19905,3081,6825,.451,2729,5759,.474,352,1066,.330,1479,1962,.754,7993
273,ATL,2009-10,82,53,29,.646,19855,3181,6801,.468,2657,5346,.497,524,1455,.360,1452,1914,.759,8338
274,IND,2009-10,82,32,50,.390,19705,3020,6823,.443,2361,4927,.479,659,1896,.348,1564,2019,.775,8263
275,CHA,2009-10,82,44,38,.537,19880,2858,6306,.453,2398,4975,.482,460,1331,.346,1637,2180,.751,7813
276,DEN,2009-10,82,53,29,.646,19780,3124,6678,.468,2580,5161,.500,544,1517,.359,1937,2508,.772,8729
277,UTA,2009-10,82,53,29,.646,19755,3227,6575,.491,2788,5368,.519,439,1207,.364,1654,2233,.741,8547
278,GSW,2009-10,82,26,56,.317,19730,3329,7094,.469,2696,5407,.499,633,1687,.375,1631,2085,.782,8922
279,PHO,2009-10,82,54,28,.659,19730,3339,6788,.492,2609,5018,.520,730,1770,.412,1631,2117,.770,9039
280,DET,2009-10,82,27,55,.329,19780,2940,6602,.445,2566,5412,.474,374,1190,.314,1455,1998,.728,7709
281,MEM,2009-10,82,40,42,.488,19905,3223,6875,.469,2879,5855,.492,344,1020,.337,1614,2202,.733,8404
282,MIA,2009-10,82,47,35,.573,19880,2984,6518,.458,2490,5092,.489,494,1426,.346,1452,1931,.752,7914
283,NYK,2009-10,82,29,53,.354,19880,3127,6876,.455,2384,4731,.504,743,2145,.346,1376,1759,.782,8373
284,MIN,2009-10,82,15,67,.183,19780,3106,6923,.449,2703,5742,.471,403,1181,.341,1436,1926,.746,8051
285,BRK,2009-10,82,12,70,.146,19780,2813,6554,.429,2436,5369,.454,377,1185,.318,1572,2015,.780,7575
286,OKC,2009-10,82,50,32,.610,19805,3063,6629,.462,2645,5400,.490,418,1229,.340,1778,2210,.805,8322
287,SAC,2009-10,82,25,57,.305,19880,3144,6895,.456,2662,5512,.483,482,1383,.349,1430,1969,.726,8200
288,ORL,2009-10,82,59,23,.720,19730,3005,6394,.470,2164,4153,.521,841,2241,.375,1575,2176,.724,8426
289,PHI,2009-10,82,27,55,.329,19805,3087,6706,.460,2613,5325,.491,474,1381,.343,1366,1808,.756,8014
290,NOP,2009-10,82,37,45,.451,19830,3178,6842,.464,2607,5270,.495,571,1572,.363,1293,1661,.778,8220
291,SAS,2009-10,82,50,32,.610,19780,3150,6659,.473,2596,5112,.508,554,1547,.358,1458,1969,.740,8312
292,TOR,2009-10,82,40,42,.488,19780,3199,6631,.482,2681,5234,.512,518,1397,.371,1618,2118,.764,8534
293,BOS,2009-10,82,50,32,.610,19780,3039,6294,.483,2540,4861,.523,499,1433,.348,1559,2090,.746,8136
294,CLE,2009-10,82,61,21,.744,19780,3101,6391,.485,2499,4809,.520,602,1582,.381,1569,2180,.720,8373
295,DAL,2009-10,82,55,27,.671,19880,3140,6760,.464,2582,5262,.491,558,1498,.372,1526,1870,.816,8364
296,WAS,2009-10,82,26,56,.317,19830,3008,6700,.449,2576,5475,.471,432,1225,.353,1444,1895,.762,7892
297,LAC,2009-10,82,29,53,.354,19705,3002,6601,.455,2519,5144,.490,483,1457,.332,1362,1867,.730,7849
298,LAL,2009-10,82,57,25,.695,19830,3144,6875,.457,2612,5313,.492,532,1562,.341,1519,1985,.765,8339
299,HOU,2009-10,82,42,40,.512,19905,3094,6923,.447,2448,5085,.481,646,1838,.351,1561,2022,.772,8395
300,POR,2009-10,82,50,32,.610,19855,2974,6453,.461,2483,5065,.490,491,1388,.354,1606,2033,.790,8045
