Rk,Date,Tm,Unnamed: 3_level_1,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
327,2019-03-20,BOS,@,PHI,L 115-118,240,45,96,.469,33,64,.516,12,32,.375,13,16,.813,115
328,2019-03-20,PHI,,BOS,W 118-115,240,34,90,.378,23,57,.404,11,33,.333,39,43,.907,118
329,2019-03-20,DAL,@,POR,L 118-126,240,43,87,.494,33,57,.579,10,30,.333,22,25,.880,118
330,2019-03-20,POR,,DAL,W 126-118,240,45,91,.495,29,55,.527,16,36,.444,20,25,.800,126
331,2019-03-20,MIA,@,SAS,W 110-105,240,40,86,.465,24,51,.471,16,35,.457,14,18,.778,110
332,2019-03-20,SAS,,MIA,L 105-110,240,38,88,.432,24,54,.444,14,34,.412,15,21,.714,105
333,2019-03-19,ATL,,HOU,L 105-121,240,39,84,.464,24,44,.545,15,40,.375,12,15,.800,105
334,2019-03-19,HOU,@,ATL,W 121-105,240,40,78,.513,21,31,.677,19,47,.404,22,30,.733,121
335,2019-03-19,CHA,,PHI,L 114-118,240,36,83,.434,27,48,.563,9,35,.257,33,44,.750,114
336,2019-03-19,PHI,@,CHO,W 118-114,240,43,86,.500,32,54,.593,11,32,.344,21,28,.750,118
337,2019-03-19,IND,@,LAC,L 109-115,240,45,87,.517,38,66,.576,7,21,.333,12,17,.706,109
338,2019-03-19,LAC,,IND,W 115-109,240,43,89,.483,33,55,.600,10,34,.294,19,27,.704,115
339,2019-03-19,LAL,@,MIL,L 101-115,240,33,86,.384,17,43,.395,16,43,.372,19,23,.826,101
340,2019-03-19,MIL,,LAL,W 115-101,240,41,89,.461,26,42,.619,15,47,.319,18,27,.667,115
341,2019-03-19,GSW,@,MIN,W 117-107,240,44,91,.484,25,49,.510,19,42,.452,10,14,.714,117
342,2019-03-19,MIN,,GSW,L 107-117,240,36,89,.404,27,53,.509,9,36,.250,26,32,.813,107
343,2019-03-19,BRK,@,SAC,W 123-121,240,47,94,.500,35,59,.593,12,35,.343,17,23,.739,123
344,2019-03-19,SAC,,BRK,L 121-123,240,49,95,.516,40,70,.571,9,25,.360,14,20,.700,121
