Rk,Date,Tm,Unnamed: 3_level_1,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
5138,2017-03-30,MIN,,LAL,W 119-104,240,43,89,.483,33,68,.485,10,21,.476,23,30,.767,119
5139,2017-03-30,LAC,@,PHO,W 124-118,240,44,80,.550,32,58,.552,12,22,.545,24,34,.706,124
5140,2017-03-30,PHO,,LAC,L 118-124,240,49,92,.533,42,69,.609,7,23,.304,13,24,.542,118
5141,2017-03-30,HOU,@,POR,L 107-117,240,40,91,.440,32,57,.561,8,34,.235,19,23,.826,107
5142,2017-03-30,POR,,HOU,W 117-107,240,43,90,.478,30,57,.526,13,33,.394,18,22,.818,117
5143,2017-03-29,BOS,,MIL,L 100-103,240,35,88,.398,23,51,.451,12,37,.324,18,23,.783,100
5144,2017-03-29,MIL,@,BOS,W 103-100,240,41,78,.526,33,56,.589,8,22,.364,13,17,.765,103
5145,2017-03-29,LAC,,WAS,W 133-124,240,47,83,.566,35,53,.660,12,30,.400,27,37,.730,133
5146,2017-03-29,WAS,@,LAC,L 124-133,240,46,93,.495,33,59,.559,13,34,.382,19,29,.655,124
5147,2017-03-29,IND,@,MEM,L 97-110,240,37,85,.435,27,60,.450,10,25,.400,13,15,.867,97
5148,2017-03-29,MEM,,IND,W 110-97,240,41,88,.466,29,56,.518,12,32,.375,16,18,.889,110
5149,2017-03-29,DAL,@,NOP,L 118-121,240,44,91,.484,30,64,.469,14,27,.519,16,17,.941,118
5150,2017-03-29,NOP,,DAL,W 121-118,240,42,84,.500,30,54,.556,12,30,.400,25,33,.758,121
5151,2017-03-29,MIA,@,NYK,W 105-88,240,40,84,.476,28,59,.475,12,25,.480,13,17,.765,105
5152,2017-03-29,NYK,,MIA,L 88-105,240,33,89,.371,28,64,.438,5,25,.200,17,21,.810,88
5153,2017-03-29,OKC,@,ORL,W 114-106 (OT),265,43,102,.422,33,69,.478,10,33,.303,18,28,.643,114
5154,2017-03-29,ORL,,OKC,L 106-114 (OT),265,39,97,.402,30,67,.448,9,30,.300,19,27,.704,106
5155,2017-03-29,ATL,@,PHI,W 99-92,240,34,80,.425,25,62,.403,9,18,.500,22,26,.846,99
5156,2017-03-29,PHI,,ATL,L 92-99,240,36,87,.414,25,48,.521,11,39,.282,9,11,.818,92
5157,2017-03-29,SAC,,UTA,L 82-112,240,34,75,.453,32,60,.533,2,15,.133,12,18,.667,82
5158,2017-03-29,UTA,@,SAC,W 112-82,240,42,79,.532,29,48,.604,13,31,.419,15,19,.789,112
5159,2017-03-29,GSW,@,SAS,W 110-98,240,43,85,.506,30,59,.508,13,26,.500,11,11,1.000,110
5160,2017-03-29,SAS,,GSW,L 98-110,240,34,83,.410,25,59,.424,9,24,.375,21,26,.808,98
5161,2017-03-29,CHA,@,TOR,W 110-106,240,39,86,.453,23,54,.426,16,32,.500,16,21,.762,110
5162,2017-03-29,TOR,,CHO,L 106-110,240,38,83,.458,27,52,.519,11,31,.355,19,24,.792,106
5163,2017-03-28,ATL,,PHO,W 95-91,240,34,85,.400,28,58,.483,6,27,.222,21,29,.724,95
5164,2017-03-28,PHO,@,ATL,L 91-95,240,35,96,.365,28,65,.431,7,31,.226,14,24,.583,91
5165,2017-03-28,BRK,,PHI,L 101-106,240,38,94,.404,29,62,.468,9,32,.281,16,24,.667,101
5166,2017-03-28,PHI,@,BRK,W 106-101,240,39,91,.429,29,58,.500,10,33,.303,18,21,.857,106
5167,2017-03-28,CHA,,MIL,L 108-118,240,39,80,.488,32,52,.615,7,28,.250,23,29,.793,108
5168,2017-03-28,MIL,@,CHO,W 118-108,240,46,74,.622,32,44,.727,14,30,.467,12,17,.706,118
5169,2017-03-28,DET,,MIA,L 96-97,240,36,85,.424,28,58,.483,8,27,.296,16,21,.762,96
5170,2017-03-28,MIA,@,DET,W 97-96,240,36,79,.456,31,58,.534,5,21,.238,20,28,.714,97
5171,2017-03-28,GSW,@,HOU,W 113-106,240,45,88,.511,34,47,.723,11,41,.268,12,16,.750,113
5172,2017-03-28,HOU,,GSW,L 106-113,240,33,85,.388,28,54,.519,5,31,.161,35,39,.897,106
5173,2017-03-28,IND,,MIN,L 114-115,240,40,81,.494,35,63,.556,5,18,.278,29,35,.829,114
5174,2017-03-28,MIN,@,IND,W 115-114,240,37,78,.474,28,58,.483,9,20,.450,32,37,.865,115
5175,2017-03-28,LAL,,WAS,L 108-119,240,43,85,.506,35,63,.556,8,22,.364,14,16,.875,108
5176,2017-03-28,WAS,@,LAL,W 119-108,240,48,94,.511,42,71,.592,6,23,.261,17,25,.680,119
5177,2017-03-28,DEN,@,POR,L 113-122,240,44,94,.468,35,64,.547,9,30,.300,16,20,.800,113
5178,2017-03-28,POR,,DEN,W 122-113,240,45,91,.495,37,64,.578,8,27,.296,24,33,.727,122
5179,2017-03-27,DAL,,OKC,L 91-92,240,33,80,.413,23,51,.451,10,29,.345,15,19,.789,91
5180,2017-03-27,OKC,@,DAL,W 92-91,240,37,85,.435,31,62,.500,6,23,.261,12,14,.857,92
5181,2017-03-27,DET,@,NYK,L 95-109,240,36,84,.429,27,61,.443,9,23,.391,14,21,.667,95
5182,2017-03-27,NYK,,DET,W 109-95,240,45,84,.536,38,63,.603,7,21,.333,12,13,.923,109
5183,2017-03-27,MEM,@,SAC,L 90-91,240,31,90,.344,26,64,.406,5,26,.192,23,29,.793,90
5184,2017-03-27,SAC,,MEM,W 91-90,240,31,67,.463,25,42,.595,6,25,.240,23,30,.767,91
5185,2017-03-27,CLE,@,SAS,L 74-103,240,31,83,.373,27,57,.474,4,26,.154,8,13,.615,74
5186,2017-03-27,SAS,,CLE,W 103-74,240,41,86,.477,34,60,.567,7,26,.269,14,17,.824,103
5187,2017-03-27,ORL,@,TOR,L 112-131,240,43,88,.489,39,68,.574,4,20,.200,22,28,.786,112
5188,2017-03-27,TOR,,ORL,W 131-112,240,49,83,.590,39,68,.574,10,15,.667,23,35,.657,131
5189,2017-03-27,NOP,@,UTA,L 100-108,240,37,80,.463,27,55,.491,10,25,.400,16,24,.667,100
5190,2017-03-27,UTA,,NOP,W 108-100,240,41,85,.482,26,58,.448,15,27,.556,11,18,.611,108
5191,2017-03-26,ATL,,BRK,L 92-107,240,34,98,.347,29,71,.408,5,27,.185,19,32,.594,92
5192,2017-03-26,BRK,@,ATL,W 107-92,240,38,86,.442,32,64,.500,6,22,.273,25,30,.833,107
5193,2017-03-26,BOS,,MIA,W 112-108,240,41,77,.532,33,53,.623,8,24,.333,22,25,.880,112
5194,2017-03-26,MIA,@,BOS,L 108-112,240,41,91,.451,34,62,.548,7,29,.241,19,24,.792,108
5195,2017-03-26,CHA,,PHO,W 120-106,240,42,87,.483,28,57,.491,14,30,.467,22,24,.917,120
5196,2017-03-26,PHO,@,CHO,L 106-120,240,41,81,.506,35,65,.538,6,16,.375,18,22,.818,106
5197,2017-03-26,DEN,,NOP,L 90-115,240,36,95,.379,30,70,.429,6,25,.240,12,14,.857,90
5198,2017-03-26,NOP,@,DEN,W 115-90,240,48,97,.495,39,70,.557,9,27,.333,10,12,.833,115
5199,2017-03-26,GSW,,MEM,W 106-94,240,39,71,.549,22,40,.550,17,31,.548,11,15,.733,106
5200,2017-03-26,MEM,@,GSW,L 94-106,240,38,85,.447,30,56,.536,8,29,.276,10,15,.667,94
5201,2017-03-26,HOU,,OKC,W 137-125,240,50,79,.633,30,40,.750,20,39,.513,17,21,.810,137
5202,2017-03-26,OKC,@,HOU,L 125-137,240,47,94,.500,36,64,.563,11,30,.367,20,28,.714,125
5203,2017-03-26,IND,,PHI,W 107-94,240,38,89,.427,31,72,.431,7,17,.412,24,29,.828,107
5204,2017-03-26,PHI,@,IND,L 94-107,240,35,88,.398,21,47,.447,14,41,.341,10,14,.714,94
5205,2017-03-26,LAC,,SAC,L 97-98,240,32,78,.410,22,49,.449,10,29,.345,23,28,.821,97
5206,2017-03-26,SAC,@,LAC,W 98-97,240,38,84,.452,25,56,.446,13,28,.464,9,13,.692,98
5207,2017-03-26,LAL,,POR,L 81-97,240,33,84,.393,28,63,.444,5,21,.238,10,17,.588,81
5208,2017-03-26,POR,@,LAL,W 97-81,240,36,89,.404,24,61,.393,12,28,.429,13,18,.722,97
5209,2017-03-26,CHI,@,MIL,W 109-94,240,46,85,.541,36,64,.563,10,21,.476,7,10,.700,109
5210,2017-03-26,MIL,,CHI,L 94-109,240,37,84,.440,30,61,.492,7,23,.304,13,17,.765,94
5211,2017-03-25,CLE,,WAS,L 115-127,240,41,83,.494,29,50,.580,12,33,.364,21,27,.778,115
5212,2017-03-25,WAS,@,CLE,W 127-115,240,49,82,.598,41,64,.641,8,18,.444,21,26,.808,127
5213,2017-03-25,DAL,,TOR,L 86-94,240,31,82,.378,24,54,.444,7,28,.250,17,20,.850,86
5214,2017-03-25,TOR,@,DAL,W 94-86,240,39,81,.481,30,60,.500,9,21,.429,7,9,.778,94
5215,2017-03-25,LAC,,UTA,W 108-95,240,38,84,.452,31,57,.544,7,27,.259,25,28,.893,108
5216,2017-03-25,UTA,@,LAC,L 95-108,240,37,86,.430,29,60,.483,8,26,.308,13,18,.722,95
5217,2017-03-25,MIN,@,POR,L 100-112,240,37,76,.487,35,66,.530,2,10,.200,24,32,.750,100
5218,2017-03-25,POR,,MIN,W 112-100,240,45,71,.634,34,49,.694,11,22,.500,11,17,.647,112
5219,2017-03-25,NYK,@,SAS,L 98-106,240,41,87,.471,38,77,.494,3,10,.300,13,15,.867,98
5220,2017-03-25,SAS,,NYK,W 106-98,240,45,99,.455,35,74,.473,10,25,.400,6,8,.750,106
5221,2017-03-24,BOS,,PHO,W 130-120,240,44,94,.468,30,53,.566,14,41,.341,28,35,.800,130
5222,2017-03-24,PHO,@,BOS,L 120-130,240,39,86,.453,33,67,.493,6,19,.316,36,49,.735,120
5223,2017-03-24,CHI,,PHI,L 107-117,240,37,91,.407,27,67,.403,10,24,.417,23,31,.742,107
5224,2017-03-24,PHI,@,CHI,W 117-107,240,46,83,.554,38,58,.655,8,25,.320,17,23,.739,117
5225,2017-03-24,CHA,,CLE,L 105-112,240,38,90,.422,28,52,.538,10,38,.263,19,24,.792,105
5226,2017-03-24,CLE,@,CHO,W 112-105,240,41,74,.554,32,49,.653,9,25,.360,21,24,.875,112
5227,2017-03-24,GSW,,SAC,W 114-100,240,44,89,.494,34,58,.586,10,31,.323,16,18,.889,114
5228,2017-03-24,SAC,@,GSW,L 100-114,240,40,83,.482,30,62,.484,10,21,.476,10,13,.769,100
5229,2017-03-24,HOU,,NOP,W 117-107,240,44,93,.473,30,54,.556,14,39,.359,15,20,.750,117
5230,2017-03-24,NOP,@,HOU,L 107-117,240,41,91,.451,27,53,.509,14,38,.368,11,14,.786,107
5231,2017-03-24,DEN,@,IND,W 125-117,240,39,82,.476,32,55,.582,7,27,.259,40,43,.930,125
5232,2017-03-24,IND,,DEN,L 117-125,240,48,95,.505,35,71,.493,13,24,.542,8,11,.727,117
5233,2017-03-24,LAL,,MIN,W 130-119 (OT),265,46,88,.523,32,65,.492,14,23,.609,24,28,.857,130
5234,2017-03-24,MIN,@,LAL,L 119-130 (OT),265,46,95,.484,39,74,.527,7,21,.333,20,22,.909,119
5235,2017-03-24,ATL,@,MIL,L 97-100,240,34,83,.410,26,61,.426,8,22,.364,21,24,.875,97
5236,2017-03-24,MIL,,ATL,W 100-97,240,39,88,.443,31,61,.508,8,27,.296,14,16,.875,100
5237,2017-03-24,DET,@,ORL,L 87-115,240,34,96,.354,32,74,.432,2,22,.091,17,20,.850,87
5238,2017-03-24,ORL,,DET,W 115-87,240,47,91,.516,35,65,.538,12,26,.462,9,13,.692,115
5239,2017-03-24,BRK,@,WAS,L 108-129,240,43,82,.524,40,67,.597,3,15,.200,19,26,.731,108
5240,2017-03-24,WAS,,BRK,W 129-108,240,49,97,.505,39,71,.549,10,26,.385,21,22,.955,129
5241,2017-03-23,BRK,,PHO,W 126-98,240,43,95,.453,35,66,.530,8,29,.276,32,42,.762,126
5242,2017-03-23,PHO,@,BRK,L 98-126,240,34,93,.366,27,68,.397,7,25,.280,23,34,.676,98
5243,2017-03-23,DAL,,LAC,W 97-95,240,38,82,.463,29,56,.518,9,26,.346,12,18,.667,97
5244,2017-03-23,LAC,@,DAL,L 95-97,240,36,80,.450,27,53,.509,9,27,.333,14,21,.667,95
5245,2017-03-23,MIA,,TOR,L 84-101,240,32,82,.390,26,59,.441,6,23,.261,14,23,.609,84
5246,2017-03-23,TOR,@,MIA,W 101-84,240,35,79,.443,29,56,.518,6,23,.261,25,32,.781,101
5247,2017-03-23,NYK,@,POR,L 95-110,240,36,88,.409,31,66,.470,5,22,.227,18,20,.900,95
5248,2017-03-23,POR,,NYK,W 110-95,240,39,80,.488,28,59,.475,11,21,.524,21,29,.724,110
5249,2017-03-23,MEM,@,SAS,L 90-97,240,34,78,.436,24,49,.490,10,29,.345,12,15,.800,90
5250,2017-03-23,SAS,,MEM,W 97-90,240,37,77,.481,29,51,.569,8,26,.308,15,23,.652,97
5251,2017-03-22,BOS,,IND,W 109-100,240,43,84,.512,32,57,.561,11,27,.407,12,14,.857,109
5252,2017-03-22,IND,@,BOS,L 100-109,240,38,87,.437,27,59,.458,11,28,.393,13,19,.684,100
5253,2017-03-22,CHI,,DET,W 117-95,240,47,80,.588,36,57,.632,11,23,.478,12,19,.632,117
5254,2017-03-22,DET,@,CHI,L 95-117,240,39,88,.443,32,68,.471,7,20,.350,10,17,.588,95
5255,2017-03-22,CLE,@,DEN,L 113-126,240,43,85,.506,28,48,.583,15,37,.405,12,14,.857,113
5256,2017-03-22,DEN,,CLE,W 126-113,240,51,96,.531,40,70,.571,11,26,.423,13,13,1.000,126
5257,2017-03-22,OKC,,PHI,W 122-97,240,48,88,.545,44,72,.611,4,16,.250,22,30,.733,122
5258,2017-03-22,PHI,@,OKC,L 97-122,240,37,87,.425,29,62,.468,8,25,.320,15,17,.882,97
5259,2017-03-22,CHA,@,ORL,W 109-102,240,42,90,.467,33,63,.524,9,27,.333,16,18,.889,109
5260,2017-03-22,ORL,,CHO,L 102-109,240,40,88,.455,26,48,.542,14,40,.350,8,10,.800,102
5261,2017-03-22,MIL,@,SAC,W 116-98,240,43,81,.531,27,46,.587,16,35,.457,14,19,.737,116
5262,2017-03-22,SAC,,MIL,L 98-116,240,41,84,.488,31,58,.534,10,26,.385,6,10,.600,98
5263,2017-03-22,NYK,@,UTA,L 101-108,240,38,80,.475,29,59,.492,9,21,.429,16,18,.889,101
5264,2017-03-22,UTA,,NYK,W 108-101,240,41,90,.456,34,62,.548,7,28,.250,19,29,.655,108
5265,2017-03-22,ATL,@,WAS,L 100-104,240,34,86,.395,26,61,.426,8,25,.320,24,29,.828,100
5266,2017-03-22,WAS,,ATL,W 104-100,240,38,95,.400,27,61,.443,11,34,.324,17,23,.739,104
5267,2017-03-21,BRK,,DET,W 98-96,240,38,88,.432,28,59,.475,10,29,.345,12,19,.632,98
5268,2017-03-21,DET,@,BRK,L 96-98,240,40,92,.435,35,69,.507,5,23,.217,11,16,.688,96
5269,2017-03-21,DAL,,GSW,L 87-112,240,33,92,.359,22,58,.379,11,34,.324,10,12,.833,87
5270,2017-03-21,GSW,@,DAL,W 112-87,240,43,78,.551,30,48,.625,13,30,.433,13,16,.813,112
5271,2017-03-21,LAC,@,LAL,W 133-109,240,45,84,.536,30,51,.588,15,33,.455,28,32,.875,133
5272,2017-03-21,LAL,,LAC,L 109-133,240,43,92,.467,37,72,.514,6,20,.300,17,27,.630,109
5273,2017-03-21,MIA,,PHO,W 112-97,240,42,96,.438,31,69,.449,11,27,.407,17,23,.739,112
5274,2017-03-21,PHO,@,MIA,L 97-112,240,36,82,.439,32,66,.485,4,16,.250,21,29,.724,97
5275,2017-03-21,MIN,,SAS,L 93-100,240,32,72,.444,25,57,.439,7,15,.467,22,25,.880,93
5276,2017-03-21,SAS,@,MIN,W 100-93,240,37,77,.481,29,53,.547,8,24,.333,18,22,.818,100
5277,2017-03-21,MEM,@,NOP,L 82-95,240,32,79,.405,23,44,.523,9,35,.257,9,13,.692,82
5278,2017-03-21,NOP,,MEM,W 95-82,240,35,88,.398,26,59,.441,9,29,.310,16,19,.842,95
5279,2017-03-21,MIL,@,POR,W 93-90,240,38,90,.422,31,74,.419,7,16,.438,10,12,.833,93
5280,2017-03-21,POR,,MIL,L 90-93,240,35,83,.422,31,62,.500,4,21,.190,16,26,.615,90
5281,2017-03-21,CHI,@,TOR,L 120-122 (OT),265,42,90,.467,28,53,.528,14,37,.378,22,27,.815,120
5282,2017-03-21,TOR,,CHI,W 122-120 (OT),265,47,95,.495,39,72,.542,8,23,.348,20,27,.741,122
5283,2017-03-20,BOS,,WAS,W 110-102,240,40,93,.430,30,60,.500,10,33,.303,20,28,.714,110
5284,2017-03-20,WAS,@,BOS,L 102-110,240,37,86,.430,29,51,.569,8,35,.229,20,26,.769,102
5285,2017-03-20,ATL,@,CHO,L 90-105,240,37,84,.440,25,47,.532,12,37,.324,4,10,.400,90
5286,2017-03-20,CHA,,ATL,W 105-90,240,40,80,.500,28,50,.560,12,30,.400,13,20,.650,105
5287,2017-03-20,DEN,@,HOU,L 124-125,240,44,86,.512,32,57,.561,12,29,.414,24,26,.923,124
5288,2017-03-20,HOU,,DEN,W 125-124,240,45,89,.506,28,51,.549,17,38,.447,18,23,.783,125
5289,2017-03-20,IND,,UTA,W 107-100,240,38,87,.437,28,67,.418,10,20,.500,21,23,.913,107
5290,2017-03-20,UTA,@,IND,L 100-107,240,40,88,.455,34,63,.540,6,25,.240,14,20,.700,100
5291,2017-03-20,LAC,,NYK,W 114-105,240,43,87,.494,33,56,.589,10,31,.323,18,24,.750,114
5292,2017-03-20,NYK,@,LAC,L 105-114,240,40,89,.449,34,65,.523,6,24,.250,19,24,.792,105
5293,2017-03-20,GSW,@,OKC,W 111-95,240,40,83,.482,25,50,.500,15,33,.455,16,21,.762,111
5294,2017-03-20,OKC,,GSW,L 95-111,240,37,87,.425,33,66,.500,4,21,.190,17,31,.548,95
5295,2017-03-20,ORL,,PHI,W 112-109 (OT),265,35,94,.372,31,71,.437,4,23,.174,38,46,.826,112
5296,2017-03-20,PHI,@,ORL,L 109-112 (OT),265,39,102,.382,30,68,.441,9,34,.265,22,24,.917,109
5297,2017-03-19,BRK,,DAL,L 104-111,240,31,72,.431,18,41,.439,13,31,.419,29,38,.763,104
5298,2017-03-19,DAL,@,BRK,W 111-104,240,41,76,.539,31,51,.608,10,25,.400,19,25,.760,111
5299,2017-03-19,DET,,PHO,W 112-95,240,40,92,.435,28,67,.418,12,25,.480,20,30,.667,112
5300,2017-03-19,PHO,@,DET,L 95-112,240,35,99,.354,29,77,.377,6,22,.273,19,30,.633,95
5301,2017-03-19,CLE,@,LAL,W 125-120,240,45,85,.529,32,49,.653,13,36,.361,22,27,.815,125
5302,2017-03-19,LAL,,CLE,L 120-125,240,47,91,.516,36,64,.563,11,27,.407,15,19,.789,120
5303,2017-03-19,MIA,,POR,L 104-115,240,41,88,.466,32,58,.552,9,30,.300,13,20,.650,104
5304,2017-03-19,POR,@,MIA,W 115-104,240,42,83,.506,29,57,.509,13,26,.500,18,24,.750,115
5305,2017-03-19,MIN,@,NOP,L 109-123,240,44,86,.512,35,61,.574,9,25,.360,12,17,.706,109
5306,2017-03-19,NOP,,MIN,W 123-109,240,49,90,.544,35,60,.583,14,30,.467,11,15,.733,123
5307,2017-03-19,BOS,@,PHI,L 99-105,240,34,84,.405,28,55,.509,6,29,.207,25,29,.862,99
5308,2017-03-19,PHI,,BOS,W 105-99,240,41,88,.466,29,55,.527,12,33,.364,11,15,.733,105
5309,2017-03-19,SAC,@,SAS,L 102-118,240,41,83,.494,34,73,.466,7,10,.700,13,17,.765,102
5310,2017-03-19,SAS,,SAC,W 118-102,240,43,87,.494,32,59,.542,11,28,.393,21,27,.778,118
5311,2017-03-19,IND,@,TOR,L 91-116,240,33,80,.413,27,57,.474,6,23,.261,19,26,.731,91
5312,2017-03-19,TOR,,IND,W 116-91,240,45,91,.495,33,64,.516,12,27,.444,14,16,.875,116
5313,2017-03-18,ATL,,POR,L 97-113,240,32,88,.364,25,62,.403,7,26,.269,26,32,.813,97
5314,2017-03-18,POR,@,ATL,W 113-97,240,44,87,.506,36,69,.522,8,18,.444,17,19,.895,113
5315,2017-03-18,CHI,,UTA,W 95-86,240,38,80,.475,31,61,.508,7,19,.368,12,14,.857,95
5316,2017-03-18,UTA,@,CHI,L 86-95,240,31,81,.383,24,56,.429,7,25,.280,17,25,.680,86
5317,2017-03-18,CHA,,WAS,W 98-93,240,35,82,.427,26,58,.448,9,24,.375,19,27,.704,98
5318,2017-03-18,WAS,@,CHO,L 93-98,240,29,79,.367,18,46,.391,11,33,.333,24,31,.774,93
5319,2017-03-18,DEN,,HOU,L 105-109,240,38,89,.427,28,58,.483,10,31,.323,19,30,.633,105
5320,2017-03-18,HOU,@,DEN,W 109-105,240,38,83,.458,33,59,.559,5,24,.208,28,35,.800,109
5321,2017-03-18,GSW,,MIL,W 117-92,240,45,75,.600,33,52,.635,12,23,.522,15,19,.789,117
5322,2017-03-18,MIL,@,GSW,L 92-117,240,36,89,.404,27,62,.435,9,27,.333,11,14,.786,92
5323,2017-03-18,CLE,@,LAC,L 78-108,240,32,83,.386,27,56,.482,5,27,.185,9,13,.692,78
5324,2017-03-18,LAC,,CLE,W 108-78,240,40,78,.513,32,52,.615,8,26,.308,20,29,.690,108
5325,2017-03-18,MEM,,SAS,W 104-96,240,32,76,.421,19,46,.413,13,30,.433,27,31,.871,104
5326,2017-03-18,SAS,@,MEM,L 96-104,240,33,75,.440,24,47,.511,9,28,.321,21,22,.955,96
5327,2017-03-18,OKC,,SAC,W 110-94,240,41,82,.500,31,56,.554,10,26,.385,18,25,.720,110
5328,2017-03-18,SAC,@,OKC,L 94-110,240,35,85,.412,30,64,.469,5,21,.238,19,23,.826,94
5329,2017-03-17,BOS,@,BRK,W 98-95,240,34,85,.400,27,56,.482,7,29,.241,23,29,.793,98
5330,2017-03-17,BRK,,BOS,L 95-98,240,30,83,.361,19,48,.396,11,35,.314,24,30,.800,95
5331,2017-03-17,DET,,TOR,L 75-87,240,29,83,.349,26,63,.413,3,20,.150,14,21,.667,75
5332,2017-03-17,TOR,@,DET,W 87-75,240,30,78,.385,21,51,.412,9,27,.333,18,20,.900,87
5333,2017-03-17,LAL,,MIL,L 103-107,240,38,84,.452,27,55,.491,11,29,.379,16,26,.615,103
5334,2017-03-17,MIL,@,LAL,W 107-103,240,40,82,.488,36,58,.621,4,24,.167,23,30,.767,107
5335,2017-03-17,MIA,,MIN,W 123-105,240,50,85,.588,42,59,.712,8,26,.308,15,19,.789,123
5336,2017-03-17,MIN,@,MIA,L 105-123,240,41,82,.500,39,70,.557,2,12,.167,21,22,.955,105
5337,2017-03-17,HOU,@,NOP,L 112-128,240,37,91,.407,24,51,.471,13,40,.325,25,32,.781,112
5338,2017-03-17,NOP,,HOU,W 128-112,240,49,92,.533,37,58,.638,12,34,.353,18,24,.750,128
5339,2017-03-17,DAL,@,PHI,L 74-116,240,30,87,.345,25,64,.391,5,23,.217,9,17,.529,74
5340,2017-03-17,PHI,,DAL,W 116-74,240,42,80,.525,30,51,.588,12,29,.414,20,23,.870,116
5341,2017-03-17,ORL,@,PHO,W 109-103,240,42,96,.438,35,73,.479,7,23,.304,18,21,.857,109
5342,2017-03-17,PHO,,ORL,L 103-109,240,38,87,.437,36,73,.493,2,14,.143,25,30,.833,103
5343,2017-03-17,CHI,@,WAS,L 107-112,240,44,88,.500,37,61,.607,7,27,.259,12,18,.667,107
5344,2017-03-17,WAS,,CHI,W 112-107,240,46,101,.455,36,75,.480,10,26,.385,10,12,.833,112
5345,2017-03-16,ATL,,MEM,L 91-103,240,29,71,.408,21,44,.477,8,27,.296,25,34,.735,91
5346,2017-03-16,MEM,@,ATL,W 103-91,240,39,92,.424,29,64,.453,10,28,.357,15,18,.833,103
5347,2017-03-16,CLE,,UTA,W 91-83,240,36,86,.419,27,53,.509,9,33,.273,10,19,.526,91
5348,2017-03-16,UTA,@,CLE,L 83-91,240,34,82,.415,29,61,.475,5,21,.238,10,14,.714,83
5349,2017-03-16,DEN,,LAC,W 129-114,240,46,86,.535,31,58,.534,15,28,.536,22,26,.846,129
5350,2017-03-16,LAC,@,DEN,L 114-129,240,44,84,.524,28,52,.538,16,32,.500,10,15,.667,114
5351,2017-03-16,GSW,,ORL,W 122-92,240,50,87,.575,40,61,.656,10,26,.385,12,23,.522,122
5352,2017-03-16,ORL,@,GSW,L 92-122,240,35,94,.372,28,67,.418,7,27,.259,15,21,.714,92
5353,2017-03-16,BRK,@,NYK,W 121-110,240,41,86,.477,31,54,.574,10,32,.313,29,35,.829,121
5354,2017-03-16,NYK,,BRK,L 110-121,240,41,88,.466,38,70,.543,3,18,.167,25,26,.962,110
5355,2017-03-16,OKC,@,TOR,W 123-102,240,47,88,.534,33,63,.524,14,25,.560,15,19,.789,123
5356,2017-03-16,TOR,,OKC,L 102-123,240,37,81,.457,32,61,.525,5,20,.250,23,30,.767,102
5357,2017-03-15,BOS,,MIN,W 117-104,240,43,79,.544,30,46,.652,13,33,.394,18,21,.857,117
5358,2017-03-15,MIN,@,BOS,L 104-117,240,40,91,.440,32,64,.500,8,27,.296,16,20,.800,104
5359,2017-03-15,CHI,,MEM,L 91-98,240,34,91,.374,23,63,.365,11,28,.393,12,15,.800,91
5360,2017-03-15,MEM,@,CHI,W 98-91,240,36,85,.424,25,54,.463,11,31,.355,15,18,.833,98
5361,2017-03-15,DET,,UTA,L 83-97,240,36,86,.419,33,73,.452,3,13,.231,8,12,.667,83
5362,2017-03-15,UTA,@,DET,W 97-83,240,36,77,.468,23,49,.469,13,28,.464,12,16,.750,97
5363,2017-03-15,HOU,,LAL,W 139-100,240,50,91,.549,32,48,.667,18,43,.419,21,32,.656,139
5364,2017-03-15,LAL,@,HOU,L 100-139,240,42,91,.462,39,66,.591,3,25,.120,13,18,.722,100
5365,2017-03-15,CHA,@,IND,L 77-98,240,32,80,.400,29,57,.509,3,23,.130,10,13,.769,77
5366,2017-03-15,IND,,CHO,W 98-77,240,39,73,.534,27,45,.600,12,28,.429,8,9,.889,98
5367,2017-03-15,LAC,,MIL,L 96-97,240,35,75,.467,30,51,.588,5,24,.208,21,29,.724,96
5368,2017-03-15,MIL,@,LAC,W 97-96,240,34,76,.447,24,47,.511,10,29,.345,19,25,.760,97
5369,2017-03-15,MIA,,NOP,W 120-112,240,44,87,.506,28,52,.538,16,35,.457,16,19,.842,120
5370,2017-03-15,NOP,@,MIA,L 112-120,240,42,88,.477,33,66,.500,9,22,.409,19,28,.679,112
5371,2017-03-15,PHO,,SAC,L 101-107,240,43,107,.402,37,82,.451,6,25,.240,9,14,.643,101
5372,2017-03-15,SAC,@,PHO,W 107-101,240,38,79,.481,32,65,.492,6,14,.429,25,34,.735,107
5373,2017-03-15,POR,@,SAS,W 110-106,240,38,80,.475,29,58,.500,9,22,.409,25,28,.893,110
5374,2017-03-15,SAS,,POR,L 106-110,240,42,88,.477,31,62,.500,11,26,.423,11,15,.733,106
5375,2017-03-15,DAL,@,WAS,W 112-107,240,40,79,.506,26,47,.553,14,32,.438,18,25,.720,112
5376,2017-03-15,WAS,,DAL,L 107-112,240,40,82,.488,28,52,.538,12,30,.400,15,21,.714,107
5377,2017-03-14,BRK,,OKC,L 104-122,240,33,71,.465,21,47,.447,12,24,.500,26,30,.867,104
5378,2017-03-14,OKC,@,BRK,W 122-104,240,44,89,.494,34,67,.507,10,22,.455,24,34,.706,122
5379,2017-03-14,CLE,,DET,W 128-96,240,46,77,.597,27,47,.574,19,30,.633,17,23,.739,128
